date_iso,date_display,source,rating,rating_basis,sentiment,vader_compound,themes,title,job_title,location,employment,pros,cons,body,advice
2025-03-22,"Mar 22, 2025",Indeed,1.0,indeed_topics,negative,0.4221,Management & Leadership; Micromanagement & Surveillance; Workload & Burnout; Culture & Toxicity; Communication & Organization,Do not work here,Anonymous,,,,,"The CEO fosters a toxic and unhealthy work environment, where respect, professionalism, and teamwork are lacking. There is a clear disregard for diversity and inclusion, and the treatment of employees is often unprofessional and disrespectful. Communication is ineffective, and instead of collaboration, there is a culture of micromanagement and negativity. If you’re considering working here, I would strongly advise researching the company culture beforehand. Leadership sets the tone for any organization, and in this case, it has created a workplace that is more stressful than productive. I hope to see positive changes in the future, but as of now, it’s not an environment I would recommend.",
2025-03-23,"Mar 23, 2025",Indeed,,none,positive,0.9259,Management & Leadership; Micromanagement & Surveillance; Culture & Toxicity; Turnover & Retention; Meaningful / Patient Work,Toxic micromanagement,Ecm,"San Diego, CA",,,,"Save your time and energy and look elsewhere. No-one is happy. Everyone there is either looking for another job, just started or both. The insane turnover itself speaks volumes. Its all about numbers . You feel more like a telemarketer than real care manager helping people.",
2025-03-24,"Mar 24, 2025",Indeed,1.0,indeed_topics,negative,-0.9676,Management & Leadership; Micromanagement & Surveillance; Pay & Benefits; Workload & Burnout; Culture & Toxicity; Career Growth & Advancement; Communication & Organization; Turnover & Retention; Coworkers & Team; Meaningful / Patient Work,Management is the worst and burnt out work,Community Support Lead Case Manager,"Sacramento, CA",,A few colleagues and the members you work for,"Management for sure, even HR, the pay and the mentally draining work they expect out of you for the less pay","The company is very unprofessional and management does not know how to manage a thing and never gets back to you but wants you to complete 10,000 tasks a day. They are not held accountable when they are in the wrong and will back one another for the wrong they do. There is always constant changes and last minute announcements regarding any news or days off. The pay is not what they say and will not budge. And they wonder why they get such a bad turn over from their employees and the people enrolled. Very unorganized company who is trying to grow but does not manage anything. They have clowns running the show and you are under surveillance with no consent signed or information given about it. It is mentally exhausting being in that kind of environment. No room for growth at all there.",
2025-03-27,"Mar 27, 2025",Indeed,2.2,indeed_topics,negative,-0.1403,Management & Leadership; Pay & Benefits; Meaningful / Patient Work; Flexibility & Schedule,Look elsewhere,Psychiatric Mental Health Nurse Practitioner,"Martinez, GA",,"Telehealth, flexible schedule",Too many to count,I enjoyed working with patients with complex mental health conditions. Management was horrible as well as admin. It’s not supportive at all. Pay was always late. Admin duties always delayed for some reason. Not a great work environment for a new NP.,
2025-04-03,"Apr 03, 2025",Indeed,1.0,indeed_topics,negative,0.9133,Management & Leadership; Culture & Toxicity; Meaningful / Patient Work,Most toxic environment ever!,Community Supports,"San Diego, CA",,None,Everything,"Hands down, the very worst company I've ever worked for. The lack of effective leadership is evident because they do NOT support the employees. Whenever you ask for support with a member, they ask you to email but blatantly disregard their emails so you are left unsupported. The upper leadership makes sure to push out the staff that are effective and genuinely care about their work performance and their members. The only thing they are concerned about is making your calls and do not focus on ""quality"" when it comes to helping the homeless population find housing. It's all about making sure that they can bill the various Cal-Aim programs for money. The environment is extremely fake and so is the authenticity of the leadership. If you are looking for a job where you will not be appreciated and you get constantly brushed off and lied to, this is definitely the job for you! If you are passionate about helping the homeless population find housing and you genuinely care about what you are doing, definitely don't go to this employer. They will burn you out and sour your taste for working with a disadvantaged group of people.",
2025-04-11,"Apr 11, 2025",Glassdoor,4.0,glassdoor_overall,positive,0.801,Workload & Burnout; Meaningful / Patient Work,Rewarding Position,Lead care manager,"Los Angeles, CA","Current employee, more than 1 year",Serving the underserved population has always been my passion and this role enables me to do so. The support I receive has allowed me to be successful,"It can be challenging to work with high needs individuals, but we find a way to make it work!",,
2025-04-21,"Apr 21, 2025",Indeed,1.75,indeed_topics,negative,0.9267,Management & Leadership; Pay & Benefits; Workload & Burnout; Culture & Toxicity; Turnover & Retention; Coworkers & Team; Meaningful / Patient Work,Bad supervisor,Lead Care Manager,"San Diego, CA",,,: -Healthcare company that doesn’t offer comprehensive medical insurance. -Accrued time off only but they “value” mental health and self care. I recommend joining the 21st century and offer two weeks. -Everyone on a certain supervisor’s team quits because she looks for reasons to get you in trouble instead of being a good leader. The office manager is all about positivity but is besties with the supervisor who is condescending. -The job is difficult enough. Please don’t add to the stress of the job by setting unrealistic expectations,I enjoyed my coworkers and the job felt rewarding. You will learn a lot about the healthcare system.,
2025-04-25,"Apr 25, 2025",Indeed,4.0,indeed_topics,positive,0.8586,Management & Leadership; Pay & Benefits; Coworkers & Team,Good place to work at CS,,"Staff San Diego, CA",,Great co-workers and benefits,Not enough paid holidays,"If you are organized, you can get to excel in your position. Management is not perfect; they try their best as a growing company and fast-paced environment. I have noticed that ones that struggle in their position at the company are the ones that cannot take direction or constructive criticism. Attendance is a big thing and attention to detail. Those that complain are the ones that don't like to work and don't want to learn. I love what I do.",
2025-05-09,"May 09, 2025",Indeed,1.2,indeed_topics,negative,0.9255,Management & Leadership; Pay & Benefits; Workload & Burnout; Culture & Toxicity; Career Growth & Advancement; Communication & Organization; Meaningful / Patient Work,RUN dont walk away Associate Marriage and Family,Therapist,"San Diego, CA",,"The clients. They’re the reason I stayed as long as I did. Working with them was meaningful, but they deserved clinicians who weren’t barely staying afloat","Feeling like no one cares if you're okay. There’s no room to process, reflect, or even breathe. The emotional toll adds up quickly, and support is rarely offered unless you're already in crisis","What I believe I learned: I learned how to survive in chaos and how not to treat employees. I learned that burnout is real and that protecting your boundaries and mental health is essential. Unfortunately, I did not grow as a clinician here—I spent more time surviving than developing. Management: Disorganized and reactive. Policies shift constantly, often without being communicated. Feedback feels more like blame than support, and there is little investment in your development as a professional. Questions or concerns are often brushed off, and decisions are made from the top down with little transparency. Workplace culture: Toxic. The people who last here either disengage emotionally or stop asking questions. Passion and drive are not rewarded—they’re drained. If you want to clock in, do the bare minimum, and collect a paycheck, you’ll probably be fine. But if you're hoping to learn, grow, and feel supported, this is not the place.",
2025-05-27,"May 27, 2025",Indeed,,none,positive,0.9709,Coworkers & Team; Meaningful / Patient Work,Great team,Anonymous,,,,,Good support system. They care about their employees and it is a company that cares about the community. The company values align with my own. It is a great company,
